start_station_id,end_station_id,count,station_name.x,lat.x,lon.x,station_name.y,lat.y,lon.y
73,104,679,Harvard Square at Brattle St / Eliot St,42.373231,-71.120886,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107
151,22,678,John F Fitzgerald - Surface Road at India Street,42.358154999999996,-71.052163,South Station - 700 Atlantic Ave.,42.352175,-71.055547
70,87,677,Harvard Kennedy School at Bennett St / Eliot St,42.371196,-71.121473,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214
22,119,676,South Station - 700 Atlantic Ave.,42.352175,-71.055547,South Boston Library - 646 East Broadway,42.335741,-71.03877
4,59,671,Tremont St. at Berkeley St.,42.345392,-71.069616,Chinatown Gate Plaza - Surface Rd. at Beach St.,42.351356,-71.059367
136,22,671,ID Building West,42.344796,-71.031614,South Station - 700 Atlantic Ave.,42.352175,-71.055547
95,68,670,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,Central Square at Mass Ave / Essex St,42.36507,-71.1031
39,21,669,Washington St. at Rutland St.,42.338623,-71.074182,Prudential Center / Belvidere,42.345959,-71.082578
59,4,665,Chinatown Gate Plaza - Surface Rd. at Beach St.,42.351356,-71.059367,Tremont St. at Berkeley St.,42.345392,-71.069616
60,60,663,Charles Circle - Charles St. at Cambridge St.,42.360835,-71.0708399,Charles Circle - Charles St. at Cambridge St.,42.360835,-71.0708399
109,7,662,TD Garden - Causeway at Portal Park #1,42.365942,-71.060515,Fan Pier,42.35328743453294,-71.04438900947571
72,60,660,One Broadway / Kendall Sq at Main St / 3rd St,42.362613,-71.084105,Charles Circle - Charles St. at Cambridge St.,42.360835,-71.0708399
21,39,659,Prudential Center / Belvidere,42.345959,-71.082578,Washington St. at Rutland St.,42.338623,-71.074182
67,105,657,MIT at Mass Ave / Amherst St,42.3581,-71.093198,Lower Cambridgeport at Magazine St/Riverside Rd,42.356954,-71.113687
107,91,657,Ames St at Main St,42.3625,-71.08822,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169
31,22,656,Seaport Hotel,42.348833,-71.041747,South Station - 700 Atlantic Ave.,42.352175,-71.055547
50,22,655,Boylston St / Berkeley St,42.350989,-71.073644,South Station - 700 Atlantic Ave.,42.352175,-71.055547
68,107,655,Central Square at Mass Ave / Essex St,42.36507,-71.1031,Ames St at Main St,42.3625,-71.08822
16,57,654,Back Bay / South End Station,42.34807412317439,-71.07657015323639,Columbus Ave. at Mass. Ave.,42.340799,-71.081572
36,54,652,Boston Public Library - 700 Boylston St.,42.349673,-71.077303,Tremont St / West St,42.354979,-71.063348
150,22,646,State Street at Channel Center,42.344137,-71.052608,South Station - 700 Atlantic Ave.,42.352175,-71.055547
105,68,644,Lower Cambridgeport at Magazine St/Riverside Rd,42.356954,-71.113687,Central Square at Mass Ave / Essex St,42.36507,-71.1031
47,98,643,Cross St. at Hanover St.,42.362811,-71.056067,Charlestown - Warren St at Chelsea St,42.371848,-71.060292
72,67,643,One Broadway / Kendall Sq at Main St / 3rd St,42.362613,-71.084105,MIT at Mass Ave / Amherst St,42.3581,-71.093198
85,109,640,Spaulding Rehabilitation Hospital - Charlestown Navy Yard,42.378338,-71.048927,TD Garden - Causeway at Portal Park #1,42.365942,-71.060515
22,135,639,South Station - 700 Atlantic Ave.,42.352175,-71.055547,ID Building East,42.344827,-71.028664
68,139,639,Central Square at Mass Ave / Essex St,42.36507,-71.1031,Dana Park,42.361589,-71.107437
98,98,639,Charlestown - Warren St at Chelsea St,42.371848,-71.060292,Charlestown - Warren St at Chelsea St,42.371848,-71.060292
90,95,637,Lechmere Station at Cambridge St / First St,42.370677,-71.076529,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445
22,136,634,South Station - 700 Atlantic Ave.,42.352175,-71.055547,ID Building West,42.344796,-71.031614
55,67,633,Boylston / Mass Ave,42.347265,-71.088088,MIT at Mass Ave / Amherst St,42.3581,-71.093198
135,22,632,ID Building East,42.344827,-71.028664,South Station - 700 Atlantic Ave.,42.352175,-71.055547
33,9,628,Kenmore Sq / Comm Ave,42.348706,-71.097009,Agganis Arena - 925 Comm Ave.,42.351246,-71.115639
68,96,627,Central Square at Mass Ave / Essex St,42.36507,-71.1031,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075
54,36,624,Tremont St / West St,42.354979,-71.063348,Boston Public Library - 700 Boylston St.,42.349673,-71.077303
67,76,624,MIT at Mass Ave / Amherst St,42.3581,-71.093198,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495
88,91,624,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169
23,42,623,Mayor Martin J Walsh - 28 State St,42.35892,-71.057629,Boylston St. at Arlington St.,42.352033,-71.070627
107,84,622,Ames St at Main St,42.3625,-71.08822,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.366981,-71.076472
22,26,621,South Station - 700 Atlantic Ave.,42.352175,-71.055547,Washington St. at Waltham St.,42.341522,-71.068922
88,67,613,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,MIT at Mass Ave / Amherst St,42.3581,-71.093198
76,88,610,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427
105,67,609,Lower Cambridgeport at Magazine St/Riverside Rd,42.356954,-71.113687,MIT at Mass Ave / Amherst St,42.3581,-71.093198
142,142,609,Alewife Station at Russell Field,42.396105,-71.139459,Alewife Station at Russell Field,42.396105,-71.139459
33,80,605,Kenmore Sq / Comm Ave,42.348706,-71.097009,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526
74,96,604,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075
26,22,598,Washington St. at Waltham St.,42.341522,-71.068922,South Station - 700 Atlantic Ave.,42.352175,-71.055547
